Affial,Kampaň,XML feed,Formát
Zdraví,Aromaoils.cz,https://www.aromaoils.cz/heureka/export/products.xml,Heureka
Zdraví,Aromaoils.cz,https://www.aromaoils.cz/universal.xml,Univerzal
Zdraví,Aromaoils.cz,https://www.aromaoils.cz/seznam/export/products.xml,
Zdraví,Aromaoils.cz,https://www.aromaoils.cz/heureka/export/availability.xml,Dostupnostný feed
Zdraví,Skinny.cz,https://www.skinny.cz/fotky78861/xml/heureka_cz.xml,Heureka
Zdraví,Skinny.cz,https://www.skinny.cz/heureka/export/products.xml,Heureka
Zdraví,Skinny.sk, https://www.skinny.sk/google.xml,Google
Zdraví,Nupreme.com,https://www.nupreme.com/heureka/export/products.xml,heureka
Zdraví,Nupreme.com,https://www.nupreme.com/universal.xml,Univerzal
Zdraví,Powerlogy.com,https://powerlogy.com/wp-content/uploads/wpallexport/exports/55f587f59fd8330d834ce3dc733b6c31/current-CRON-heureka-xml-feed.xml,heureka
Zdraví,Blendea.cz,https://feeds.mergado.com/blendea-cz-shoptet-mergado-xml-cz-ddb2d249688f1e4dfef9f28a46cc3388.xml,mergado
Zdraví,Blendea.cz,https://www.blendea.cz/google/export/products.xml?hash=GtthfasBtRIRsl8yiPRuCn8A,Google
Zdraví,Blendea.cz,https://www.blendea.sk/google/export/products.xml?hash=GtthfasBtRIRsl8yiPRuCn8A,Google
Zdraví,Zdravibezchemie.cz,https://www.zdravibezchemie.cz/heureka/export/products.xml,Heureka
Zdraví,Paleomarket.cz,https://paleomarket.cz/wp-content/xml/heureka_1.xml,Heureka
Zdraví,Nutrifood.sk,https://nutrifoodketo.sk/wp-content/uploads/woo-product-feed-pro/xml/47lmtjr1s0yv5zgk2ctn50vqkwo6459n.xml,
Zdraví,Vianutra.sk,https://vianutra.com/wp-content/uploads/xml/heureka_1.xml,Heureka
Zdraví,Vianutra.cz,https://vianutra.com/wp-content/uploads/xml/heureka_1.xml,Heureka
Zdraví,Biocare.sk,https://biocare.sk/vsetky_p2.xml,XML
Zdraví,Matchaday.sk,https://www.matchaday.sk/google/export/products.xml?hash=Oo5lBB3QUEMJxVFapPyC18R,Google
Zdraví,Organicmarket.cz,https://www.organicmarket.cz/heureka/export/products.xml,Heureka
Zdraví,Boruvkovykopecek.cz,https://www.boruvkovykopecek.cz/heureka/export/products.xml,Heureka
Zdraví,Boruvkovykopecek.cz,https://www.boruvkovykopecek.cz/google/export/products.xml,Google
Zdraví,Boruvkovykopecek.cz,https://www.boruvkovykopecek.cz/seznam/export/products.xml,Zboží
Zdraví,Boruvkovykopecek.cz,https://www.boruvkovykopecek.cz/universal.xml,Universal
Zdraví,Herbavia.cz,https://www.dropbox.com/s/05ipvgxld96vz9z/heurekaProducts.xml?dl=0,Heureka
Zdraví,Simplymix.com,https://www.simplymix.com/heureka/export/products.xml,Heureka
Zdraví,Bionutrian.com,https://bionutrian.com/wp-content/uploads/woo-product-feed-pro/xml/vgnVrt92jgQC3slkAeO39X8qA9xwnotf.xml,
Zdraví,Proerecta.cz,https://www.proerecta.cz/wp-content/uploads/mergado/data/0/products_97c8ab708686e6c3f2327bf69d3c0c997f148a13.xml,Mergado
Zdraví,Vimax.cz,https://www.vimax.cz/wp-content/uploads/mergado/data/0/products_8519b9f60031c472af46a678bcdc02d429d377d5.xml,Mergado
Zdraví,Navlasil.cz,https://www.navlasil.cz/obj/files/xml-export/feed_google_cs.xml,Google
Zdraví,Lanyzshop.cz,https://www.lanyzshop.cz/feed-google-merchant-gsifh867it.xml,Google
Zdraví,Ajala.cz,https://www.ajala.cz/heureka/export/products.xml,Heureka
Zdraví,Ajala.cz,https://www.ajala.cz/google/export/products.xml,Google
Zdraví,Neurinu.cz,https://www.neurinu.cz/wp-content/uploads/xml/heureka_1.xml,Heureka
Zdraví,Neohack.sk,https://storage.feedyio.com/neohack.myshopify.com/673b36f83b58d62c54bd93d3.xml,Google
Zdraví,Neohack.sk,https://storage.feedyio.com/neohack.myshopify.com/671212466f8a0b6c4bb94f68.xml,Heureka
Zdraví,Bagniaristore.cz,https://www.bagniaristore.cz/universal.xml,
Zdraví,Bagniaristore.cz,https://www.bagniaristore.cz/heureka/export/products.xml,Heureka
Zdraví,Tasteofasia.cz,https://feeds.mergado.com/tasteofasia-cz-google-nakupy-57a100e375acb6d0dcadefb7eab5a2a0.xml,Google
Zdraví,Tasteofasia.sk,https://feeds.mergado.com/tasteofasia-cz-google-nakupy-sk-4699760e854c1bb379b011327b8e9f45.xml,Google
Zdraví,TPmove.sk,https://www.tpmove.sk/universal.xml,
Zdraví,Lovemosh.eu,https://www.lovemosh.eu/feed-google-merchant-8ejkbat87x.xml,Google
Zdraví,Lovemosh.eu/cz/,https://www.lovemosh.eu/cz/feed-google-merchant-8ejkbat87x.xml,Google
Zdraví,Raciolka.cz,https://www.raciolka.cz/data-xml/modul-heureka/heureka-read.php?shop=1&type=productscz&token=d450d47880,Heureka
Zdraví,Incognito.eco (CZ),https://incognito.eco/pages/google-feed?currency=CZK,
Zdraví,Incognito.eco (DE),https://incognito.eco/de-de/pages/google-feed?currency=EUR,
Zdraví,Incognito.eco (SK),https://incognito.eco/sk-sk/pages/google-feed?currency=EUR,
Zdraví,Incognito.eco (PL),https://incognito.eco/pl-pl/pages/google-feed?currency=PLN,
Zdraví,Incognito.eco (HU),https://incognito.eco/hu-hu/pages/google-feed?currency=HUF,
,,,
Krása,Kosmetikomat.sk,https://www.kosmetikomat.sk/google.xml?hash=M2iNmNTwx981bVRSOfCjF5uo,Google
Krása,Kosmetikomat.sk,https://www.kosmetikomat.sk/google/export/products.xml?hash=M2iNmNTwx981bVRSOfCjF5uo,
Krása,Kosmetikomat.cz,https://www.kosmetikomat.cz/google/export/products.xml,Google
Krása,Kosmetikomat.cz,https://www.kosmetikomat.cz/heureka/export/products.xml,Heureka
Krása,Wetyzo.cz,https://www.wetyzo.cz/heureka/export/products.xml,Heureka
Krása,Wetyzo.cz,https://www.wetyzo.cz/google/export/products.xml,Google
Krása,Spaceylon.sk,https://www.spaceylon.sk/fotky44397/xml/heureka_sk.xml,Heureka
Krása,Spaceylon.sk,https://www.spaceylon.sk/fotky44397/xml/facebook.xml,Facebook
Krása,Spaceylon.sk,https://www.spaceylon.sk/fotky44397/xml/google_nakupy.xml,Google
Krása,Nechtovyraj.sk,https://nechtovyraj.sk/data-xml/modul-google/google-read.php?shop=1&type=products&lang=sk&token=6e79e0d3a4,Google
Krása,Nehtovyraj.cz,https://nehtovyraj.cz/data-xml/modul-google/google-read.php?shop=1&type=products&lang=cs&token=6e79e0d3a4,Google
Krása,Koolman.cz,https://storage.feedyio.com/553158-28.myshopify.com/68c07e99590607312f7fd9fd.xml,
,,,
,,,
Bydlení,Kreativnized.cz,https://kreativnastena.flox.sk/erp/impexp/specialexport/heureka/cz,Heureka
Bydlení,Kreativnastena.sk,https://kreativnastena.sk/erp/impexp/specialexport/heureka/ ,Heureka
Bydlení,Designpropaganda.cz,https://www.designpropaganda.cz/heurekacz.xml,Heureka
Bydlení,Remoska.eu ,https://shop.remoska.eu/heureka/export/products.xml,Heureka
Bydlení,Remoska.eu ,https://shop.remoska.eu/seznam/export/products.xml,
Bydlení,Remoska.eu ,https://shop.remoska.eu/google/export/products.xml,
Bydlení,Remoska.sk,https://www.remoska.sk/heureka/export/products.xml,
Bydlení,Remoska.sk,https://www.remoska.sk/seznam/export/products.xml,
Bydlení,Remoska.sk,https://www.remoska.sk/google/export/products.xml,
Bydlení,Drevona.sk,https://feeds.mergado.com/drevona-sk-heureka-sk-2-11827febc2dd0115753d06ae58e8140f.xml,Heureka
Bydlení,Li-Go.cz,https://exports.conviu.com/open/17ppwlo1bht7ip5264rjxvoax831mpgo/writer/hoia0kfbny75kojk3qxpdv9rck6g7gs6.xml,XML
Bydlení,Fotoobrazyzplatna.sk,https://www.fotoobrazyzplatna.cz/export/heureka.xml?lang=sk,Heureka
Bydlení,Fotoobrazyzplatna.cz,https://www.fotoobrazyzplatna.cz/export/heureka.xml?lang=cs,Heureka
Bydlení,E-matrac.sk,https://www.e-matrac.sk/heureka/export/products.xml,Heureka
Bydlení,Decohouse.cz,https://www.decohouse.cz/feed-google-merchant-wmr2upe1c7.xml,Google
Bydlení,Artofhome.cz,https://www.artofhome.cz/google/export/products.xml,Google
Bydlení,Sedet.cz,https://www.sedet.cz/export/heureka/feed.xml,Heureka
Bydlení,Sedet.cz,https://www.sedet.cz/export/zbozi/feed.xml,Zboží
Bydlení,Sedet.cz,https://www.sedet.cz/export/google/feed_rss.xml,Google
Bydlení,TokraHome.cz,https://www.tokrahome.cz/heureka/export/products.xml,Heureka
Bydlení,TokraHome.cz,https://www.tokrahome.cz/google/export/products.xml,Google
Bydlení,eshopmania.cz,https://www.eshopmania.cz/universal.xml,Universal
Bydlení,klimaguru.cz,https://www.klimaguru.cz/feed-google-merchant-fjq9y2pnbd.xml,Google
,,,
,,,
Móda,Arno-obuv.sk,https://www.arno-obuv.sk/feed/glami,Glami
Móda,Arno.cz,https://www.arno.cz/feed/heureka,Heureka
Móda,Arno-obuv.sk,https://www.arno-obuv.sk/feed/heureka,Heureka
Móda,https://www.irisimo.sk/export/heureka,https://www.irisimo.sk/export/heureka,Heureka
Móda,Irisimo.cz,https://www.irisimo.cz/export/heureka,Heureka
Móda,Enemiq.sk,https://www.enemiq.sk/heureka/export/products.xml,Heureka
Móda,Enemiq.cz,https://www.enemiq.cz/heureka/export/products.xml,Heureka
Móda,Meetyshop.com,https://exports.conviu.com/open/97vq13578gzzdo9aqrheoohp0utoyk8i/writer/lmb2aa0ltwi3i8xg269mylp1biksgciv.xml,
Móda,sk.meetyshop.com,https://exports.conviu.com/open/97vq13578gzzdo9aqrheoohp0utoyk8i/writer/mv388y7f8bogybkttitheq2uk68uiyej.xml,
,,,
,,,
Pro děti,kojenecke-obleceni.eu,https://www.kojenecke-obleceni.eu/export/heureka/472b02a8-25a0-4294-bec4-055a24411fd3,Heureka
Pro děti,Dadaboom.cz,https://www.dadaboom.cz/feed-heureka-tl7hkzvm56.xml,Heureka
Pro děti,Dadaboom.sk,https://www.dadaboom.sk/feed-heureka-tl7hkzvm56.xml,Heureka
Pro děti,Elektrickeauticko.cz,https://feeds.mergado.com/elektricka-auticka-heureka-cz-cz-1-1ab00de3fd9779709cc451d089fbd3b0.xml,Heureka
Pro děti,Martons.sk,https://exports.conviu.com/open/20z2ubvygdmlgt684ae8peq90shqn8oc/writer/q2ftxdj2grl61yl7pfcgnx7d9v5jjh5e.xml,Google
Pro děti,ponnie.eu/cz/,https://www.ponnie.eu/cz/feed-zbozi-6cnf7vmpez.xml,Zboží
Pro děti,ponnie.eu/cz/,https://www.ponnie.eu/cz/feed-google-merchant-6cnf7vmpez.xml,Google
Pro děti,ponnie.eu/cz/,https://www.ponnie.eu/cz/feed-heureka-6cnf7vmpez.xml,Heureka
,,,
,,,
Jiné,Intimity.cz,"zašleme na vyžádání, napíšete nám na hello@affial.com a uveďte URL webu, na kterém ho chcete použít",
Jiné,Honitka.cz,"zašleme na vyžádání, napíšete nám na hello@affial.com a uveďte URL webu, na kterém ho chcete použít",
Jiné,Elektronicke-vycvikove-obojky.com,https://www.elektronicke-vycvikove-obojky.com/modules/pb_xml/xml-reader.php?feed=heureka,Heureka
Jiné,Elektronicky-obojok.sk,https://www.elektronicky-obojok.sk/modules/pb_xml/xml-reader.php?feed=heureka_sk,Heureka
Jiné,Elektromos-nyakorv.hu,https://www.elektromos-nyakorv.hu/modules/pb_xml/xml-reader.php?feed=arukereso,Arukereso
Jiné,Jshop.cz,https://www.jshop.cz/xml/heureka2.xml,Heureka
Jiné,Jshop.sk,https://www.jshop.sk/xml/google.xml,Heureka
Jiné,Demy.hu,http://demy.sk/arukereso_2.xml,Arukereso
Jiné,Drinkcentrum.cz,https://drinkcentrum.cz/heureka_cs.xml,Heureka
Jiné,Drinkcentrum.sk,https://drinkcentrum.sk/heureka_sk.xml,Heureka
Jiné,Drinkcentrum.hu,https://drinkcentrum.hu/heureka_hu.xml,Heureka
Jiné,Happylu.cz,https://www.happylu.cz/heureka/export/products.xml,Heureka
Jiné,Ajala.cz,https://www.ajala.cz/heureka/export/products.xml,Heureka
Jiné,Ajala.cz,https://www.ajala.cz/google/export/products.xml,Google
Jiné,Clovecinahra.sk,https://www.clovecinahra.sk/universal.xml,Univerzal
Jiné,Clovecinahra.cz,https://www.clovecinahra.cz/universal.xml,Univerzal
Jiné,Ochranneskla.eu,https://www.ochranneskla.eu/feed-google-merchant-7va6y5u8o5.xml,Google
Jiné,Ochranneskla.eu/cz,https://www.ochranneskla.eu/cz/feed-google-merchant-7va6y5u8o5.xml,Google
Jiné,Togga.cz,https://www.togga.cz/heureka/export/products.xml,Heureka
Jiné,Togga.cz,https://www.togga.cz/google/export/products.xml,Google
Jiné,Togga.cz,https://www.togga.cz/universal.xml,Univerzal
Jiné,Vaporism.cz,https://www.vaporism.cz/heureka/export/products.xml,Heureka
Jiné,Auto123.sk,https://auto123.sk/media/feeds/heureka.xml,Heureka
Jiné,Auto123.sk,https://auto123.sk/media/feeds/google_export.xml,Google
Jiné,24365.cz,https://feeds.mergado.com/sapro-heureka-cz-produktovy-cz-1-a5e24c5f285390452ffb508ce6d1fd59.xml,
,,,
,,,
Sport,Beldasport.cz,https://www.beldasport.cz/heureka/export/products.xml,Heureka
Sport,Belda.sk,https://www.belda.sk/heureka/export/products.xml,Heureka
Sport,Mebik.sk,https://www.mebik.sk/wp-load.php?security_key=5035fa7ff7ce79a0&export_id=15&action=get_data,Heureka
Sport,Mebik.cz,https://www.mebik.sk/wp-load.php?security_key=5035fa7ff7ce79a0&export_id=15&action=get_data,
Sport,Shox.sk,https://www.shox.sk/wp-content/uploads/product-feeds/heureka_sk.xml,Heureka
Sport,Shox.cz,https://www.shox.cz/wp-content/uploads/product-feeds/heureka_cz.xml,Heureka
Sport,Florbal4u.com,https://feeds.mergado.com/florbal4u-com-heureka-sk-2-3c5da768a57cc465690aa1463fdda2b1.xml,Heureka
Sport,Florbal4u.com/cz,https://feeds.mergado.com/florbal4u-cz-heureka-cz-33d6ee3fba451e6099fb745aa90dce25.xml,Heureka
